Name,PDGA #,Rating,Year,Gender,Class,Division,Country,State/Province,Events,Points,Cash
K. Tyburski,45935,995,2021,Male,Pro,Pro Masters 40+,United States,North Carolina,15,2038,4980.00
C. Fuhrman,30655,1008,2021,Male,Pro,Open,United States,Ohio,26,4005,4980.00
T. Girouard,88077,997,2021,Male,Pro,Open,United States,Texas,35,9102,4961.00
M. Velediaz,104187,938,2021,Female,Pro,Open Women,United States,Tennessee,14,817,4917.00
S. Vincent,29947,938,2021,Female,Pro,Open Women,United States,Texas,10,1194,4915.00
J. O'Polka,88979,1002,2021,Male,Pro,Open,United States,Iowa,15,4647,4882.00
B. Schweberger,12989,1011,2021,Male,Pro,Pro Masters 40+,United States,North Carolina,19,1740,4871.00
C. Colglazier,47407,1025,2021,Male,Pro,Open,United States,Alabama,8,5910,4866.00
J. Bilodeau,45478,1005,2021,Male,Pro,Open,United States,Utah,13,3557,4822.00
A. Martin,54302,1001,2021,Male,Pro,Open,United States,Ohio,16,4210,4792.00
S. Conway,38603,1001,2021,Male,Pro,Open,United States,North Carolina,27,5742,4782.00
C. Villa,58197,1013,2021,Male,Pro,Open,United States,Pennsylvania,18,3460,4755.00
B. Schick,7992,1011,2021,Male,Pro,Open,United States,Ohio,13,3852,4733.00
B. Kulchuk,54607,959,2021,Male,Pro,Pro Masters 40+,United States,Massachusetts,23,2334,4717.00
B. Brown,87673,1008,2021,Male,Pro,Open,United States,Tennessee,18,3782,4716.00
P. Ulibarri,41750,1001,2021,Male,Pro,Pro Masters 40+,United States,Arizona,7,1372,4710.00
J. Reading,15864,999,2021,Male,Pro,Pro Masters 50+,United States,Texas,6,822,4710.00
V. Van Dyken,62325,935,2021,Female,Pro,Open Women,United States,Michigan,14,2038,4660.00
N. Hanson,40274,1000,2021,Male,Pro,Open,United States,Colorado,17,3942,4659.00
K. Crabtree,25596,1019,2021,Male,Pro,Open,United States,Washington,15,5282,4653.00
R. Frescura,48338,1008,2021,Male,Pro,Open,United States,Michigan,17,12425,4651.00
S. Mattingly,55496,970,2021,Male,Pro,Open,United States,Kentucky,44,4775,4546.00
L. Harpool,101319,1007,2021,Male,Pro,Open,United States,Kansas,15,7525,4542.00
N. Perkins,65737,1008,2021,Male,Pro,Open,United States,Texas,14,12287,4541.00
K. Kiefer III,97115,1009,2021,Male,Pro,Open,United States,Florida,15,3342,4518.00
E. Stinchcomb,71262,928,2021,Female,Pro,Open Women,United States,Montana,14,2067,4468.00
C. Childress,101578,992,2021,Male,Pro,Open,United States,Tennessee,24,4445,4456.00
J. Cournoyer,37106,994,2021,Male,Pro,Open,United States,South Dakota,18,1972,4439.00
B. Poland,100708,995,2021,Male,Pro,Open,United States,North Carolina,26,3012,4434.00
J. Willis II,23844,998,2021,Male,Pro,Open,United States,Texas,28,14290,4431.00
J. Kiep,68815,1013,2021,Male,Pro,Open,United States,Georgia,16,3942,4383.00
A. Nava,52403,1006,2021,Male,Pro,Open,United States,Oregon,22,5152,4365.00
L. Carlsson,82098,1033,2021,Male,Pro,Open,Sweden,,5,3930,4353.00
B. Rohler,131719,994,2021,Male,Pro,Open,United States,Missouri,16,3670,4318.00
R. Sheldon,87836,1014,2021,Male,Pro,Open,United States,Minnesota,7,3370,4280.00
N. Metzler,41220,999,2021,Male,Pro,Open,United States,Colorado,18,5850,4256.00
J. Sanders,78848,1010,2021,Male,Pro,Open,United States,Texas,11,4980,4215.00
S. Lee,78519,1001,2021,Male,Pro,Open,United States,Kentucky,18,9192,4201.00
N. Anttila,91249,1034,2021,Male,Pro,Open,Finland,,7,4820,4194.00
J. Goff,2431,980,2021,Male,Pro,Pro Masters 50+,United States,California,12,1134,4192.00
N. Rowton,34180,1005,2021,Male,Pro,Open,United States,Texas,13,2170,4179.00
C. Behrhorst,42202,1002,2021,Male,Pro,Open,United States,North Carolina,27,8500,4169.00
